Nb	Mean	Median	SD
4	0.0626374973705	0.0606892805276	0.0437692033579
5	0.124197061794	0.126813968077	0.0906759503663
6	0.1302213114	0.11051986265	0.098319191829
7	0.156140560288	0.148352531428	0.10397007886
8	0.177837749064	0.149490586605	0.10204320933
9	0.196050006906	0.164214946453	0.0970758674365
10	0.259562778628	0.307727401106	0.0954334347908
11	0.244036925324	0.274530504805	0.0972851546928
12	0.268796747326	0.318078704935	0.0993268248192
13	0.278031443189	0.342117243205	0.0946046553747
14	0.320726738737	0.345742754276	0.0693688916066
15	0.296156012393	0.347602265375	0.091640021897
16	0.330900684752	0.351136745093	0.065156755976
17	0.339723800451	0.351377199694	0.0472117511067
18	0.352865144334	0.352865144334	0.0
